,Paper_ID,Question_ID,Question_Type,Question_Text,Token_Text,Word_Count
0,0460_m17_qp_22.pdf,1,MAIN,"Study the map extract for Ballyvaghan, Ireland. The scale is 1:50 000.",map extract scale,71
1,0460_m17_qp_22.pdf,(a),SUB,The map has blue grid lines which make squares. What area of land does one grid square show? Tick one answer below. Tick (3),map lines squares area land grid square show answer,126
2,0460_m17_qp_22.pdf,10,MAIN,km2,km2,4
3,0460_m17_qp_22.pdf,20,MAIN,km2,km2,4
4,0460_m17_qp_22.pdf,50,MAIN,km2 100 km2,km2,12
5,0460_m17_qp_22.pdf,(b),SUB,(i) Height above sea level is shown by contour lines. What is the difference in height between the contour lines on this map? Tick one answer below. Tick (3),sea level contour lines difference height contour lines map answer,159
6,0460_m17_qp_22.pdf,(ii),SUB,What does the green shading in grid square 2807 show?,shading square show,55
7,0460_m17_qp_22.pdf,(c),SUB,"Fig. 1 shows some of the features in the east of the map extract. Study Fig. 1 and the map extract, and answer the questions below. Fig. 1",features east map extract map extract questions,140
8,0460_m17_qp_22.pdf,(i),SUB, Identify feature A. ,feature,21
9,0460_m17_qp_22.pdf,(ii),SUB, Identify the type of road at B. ,type road,33
10,0460_m17_qp_22.pdf,(iii),SUB, Give the six-figure grid reference of the road junction at C. ,six-figure reference road junction,63
11,0460_m17_qp_22.pdf,(iv),SUB, Give the height above sea level of the spot height at D. ,height sea level spot height,58
12,0460_m17_qp_22.pdf,(v),SUB, Describe the gradient of the road: between D and E; between E and C. ,gradient road,70
13,0460_m17_qp_22.pdf,(d),SUB,Fig. 2 shows the location of the coastal settlements at Ballyvaghan and Bealaclugga. BBeeaallaacclluuggggaa BBaallllyyvvaagghhaann Fig. 2,location settlements,139
14,0460_m17_qp_22.pdf,(i),SUB,A person travels along the N67 road from the main road junction at Ballyvaghan to the road junction at Bealaclugga. How far does the person travel? Give your answer in metres.,person road road junction road junction person travel answer metres,177
15,0460_m17_qp_22.pdf,(ii),SUB,How much further does the person travel along the N67 road than the straight line distance between the two points? Give your answer in metres.,person travel road line distance points answer metres,144
16,0460_m17_qp_22.pdf,(iii),SUB,Which of the following statements describes the directions that the person travels from Ballyvaghan to Bealaclugga? Tick one answer below. Tick (3) north east then south east north east then south west north west then south west north west then south east south east then north east,statements directions person travels answer north east south east,284
17,0460_m17_qp_22.pdf,(e),SUB,Fig. 3 is a cross section through the summit (top) of Moneen Mountain from 240077 to 290077. Fig. 3,cross section summit,101
