Paper_ID,Question_ID,Question_Type,Question_Text,Token_Text,Word_Count
0460_m17_qp_22.pdf,1 ,MAIN,"Study the map extract for Ballyvaghan, Ireland. The scale is 1:50 000. ",Study map extract Ballyvaghan Ireland scale 1:50,71
0460_m17_qp_22.pdf,(a),SUB, The map has blue grid lines which make squares. What area of land does one grid square show? Tick one answer below. Tick (3) ,map blue grid line make square area land one grid square show Tick one answer Tick,126
0460_m17_qp_22.pdf,10 ,MAIN,km2 ,,4
0460_m17_qp_22.pdf,20 ,MAIN,km2 ,,4
0460_m17_qp_22.pdf,50 ,MAIN,km2 100 km2 ,,12
0460_m17_qp_22.pdf,(b),SUB, (i) Height above sea level is shown by contour lines. What is the difference in height between the contour lines on this map? Tick one answer below. Tick (3) ,Height sea level shown contour line difference height contour line map Tick one answer Tick,159
0460_m17_qp_22.pdf,(ii),SUB, What does the green shading in grid square 2807 show? ,green shading grid square show,55
0460_m17_qp_22.pdf,(c),SUB," Fig. 1 shows some of the features in the east of the map extract. Study Fig. 1 and the map extract, and answer the questions below. Fig. 1 ",show feature east map extract Study map extract answer question,140
0460_m17_qp_22.pdf,(i),SUB, Identify feature A. ,Identify feature,21
0460_m17_qp_22.pdf,(ii),SUB, Identify the type of road at B. ,Identify type road,33
0460_m17_qp_22.pdf,(iii),SUB, Give the six-figure grid reference of the road junction at C. ,Give six-figure grid reference road junction,63
0460_m17_qp_22.pdf,(iv),SUB, Give the height above sea level of the spot height at D. ,Give height sea level spot height,58
0460_m17_qp_22.pdf,(v),SUB, Describe the gradient of the road: between D and E; between E and C. ,Describe gradient road,70
0460_m17_qp_22.pdf,(d),SUB, Fig. 2 shows the location of the coastal settlements at Ballyvaghan and Bealaclugga. BBeeaallaacclluuggggaa BBaallllyyvvaagghhaann Fig. 2 ,show location coastal settlement Ballyvaghan Bealaclugga BBeeaallaacclluuggggaa BBaallllyyvvaagghhaann,139
0460_m17_qp_22.pdf,(i),SUB, A person travels along the N67 road from the main road junction at Ballyvaghan to the road junction at Bealaclugga. How far does the person travel? Give your answer in metres. ,person travel along N67 road main road junction Ballyvaghan road junction Bealaclugga far person travel Give answer metre,177
0460_m17_qp_22.pdf,(ii),SUB, How much further does the person travel along the N67 road than the straight line distance between the two points? Give your answer in metres. ,much person travel along N67 road straight line distance two point Give answer metre,144
0460_m17_qp_22.pdf,(iii),SUB, Which of the following statements describes the directions that the person travels from Ballyvaghan to Bealaclugga? Tick one answer below. Tick (3) north east then south east north east then south west north west then south west north west then south east south east then north east ,following statement describes direction person travel Ballyvaghan Bealaclugga Tick one answer Tick north east south east north east south west north west south west north west south east south east north east,284
